,logFC,logCPM,F,PValue,FDR
NFE2L2,-0.22139900028413845,5.364363500374796,4.030749058580573,0.0458188527839354,0.16836963803519686
WDR60,-0.22191210565872285,4.60899993774797,4.177060901152201,0.0420469451182428,0.1589381301770161
PRKRIP1,-0.2219881273614357,4.529842916707957,4.554692968389413,0.0338159356011835,0.13511972223607477
SFXN1,-0.22203353260288042,5.518580337585957,7.223415727702357,0.007709442563516432,0.04642489738826133
TNRC6A,-0.22234644151576902,5.049134112884033,4.742094910946105,0.030416657311277216,0.12457788166033686
ITM2B,-0.2229045675224935,9.337936242368174,28.4375343354462,2.2579565823270382e-07,5.95060355488547e-06
BCL7C,-0.2229771072270026,5.946140795821657,8.570624421665618,0.0037512328609678566,0.026461704286917617
RPS21,-0.22307300458938784,11.470350170828423,36.64195897170397,5.518832681986711e-09,2.071107528895973e-07
SMIM14,-0.2234022506025002,4.715453961951874,5.102226593302571,0.024784994951288043,0.10686251040118769
NAP1L1,-0.2234180494475418,8.44811046696101,26.555666608235782,5.398593148118992e-07,1.285522865879502e-05
KLF3,-0.22344347194320982,7.064801104147339,6.800531026301499,0.009693333478775028,0.05545296018162641
RPL3,-0.22360303536523937,12.586810842347514,56.640966680710505,1.0888358688572458e-12,7.2967558011562e-11
MKKS,-0.22469261626625664,5.126591451879172,5.047318385923338,0.02558437506503005,0.10910573039095997
SNORA76,-0.22492233915395102,7.258302272116246,8.125106920224425,0.004751211688393334,0.031749193775289355
EIF4A2,-0.2251877189667723,8.434053955440287,39.102692582158745,1.8613766543510161e-09,7.72718396952267e-08
ANKRD11,-0.2254837928614286,6.386157546441616,7.730251856445782,0.005868679301188128,0.03745574775765104
JOSD1,-0.22628339880336945,4.943101882339786,4.085251708175594,0.04437419483616391,0.16544020013740332
RPL31,-0.22754420568116604,12.308108782414521,56.43132126289849,1.186680101594484e-12,7.731550495249616e-11
PLEKHA3,-0.2282690370258874,4.982488883887253,5.90088647366005,0.01587303863173366,0.0778060859158439
PCMTD1,-0.22904375181012587,5.370125780515465,6.1054269199779405,0.014184816187241935,0.07312194805972738
BTF3L4,-0.2291730747903845,5.098771214099971,4.57653113843679,0.03343245394922915,0.13415880365768512
RPL24,-0.22922786441383908,10.980722112059292,49.587950554039836,2.044088836690804e-11,1.1021633026340877e-09
ECSIT,-0.22987111872476598,4.740869671943825,4.68956706322234,0.03132425325505777,0.1270026551594434
GS1-251I9.4,-0.23009383916840503,6.025943153580347,10.578229393552153,0.0013119841581635606,0.011612297520651437
PRKAA1,-0.23067515767683233,5.428812102508122,6.650982465950886,0.010517971205704182,0.058390299320660734
UXS1,-0.2307683550767121,4.774018532747052,4.855823205574835,0.028493494646758242,0.11849555264888557
LEPROT,-0.23079256903759626,4.810164358943458,4.832161204859116,0.02888581538966342,0.11991447786983282
KLHL24,-0.2307979506843579,5.109756385545365,5.566789993236089,0.019115432368249884,0.08994031418200624
RPS18,-0.23095285775091995,13.23171625012276,58.6738368035196,4.743266347332551e-13,3.371312490202575e-11
PLEKHA1,-0.2310058313339836,5.663251789967297,8.747073212134026,0.0034169144721538226,0.024322831242600276
ITPKB,-0.23112000239382424,4.659761472992434,4.003251174819531,0.046520803478714255,0.16996034978087896
RPL39,-0.2315415931762165,12.711818460943855,29.54086417498027,1.359461459658948e-07,3.7076940158489096e-06
RPS20,-0.23161997522622227,11.881682763443793,33.969894597399076,1.8208007610130923e-08,6.015053781628462e-07
RPL10A,-0.23163969577625249,11.603191345515608,72.38092780334979,2.0422181859073417e-15,2.0826185891502914e-13
