,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
68,DOK2,11.069148,0.59571487,1.7707622901592783e-28,7.378176208996993e-27,0.3369930539995519,0.2416855020988053
85,DYNLL1,9.062777,0.58829415,1.271710508436931e-19,4.286664635180666e-18,0.28590634102621554,0.20820552147239263
138,ANXA5,6.6169343,0.5837141,3.667245963113227e-11,7.64009575648589e-10,0.19986556128164912,0.14140700678075557
199,TPM4,4.5161505,0.58353066,6.2973878784691516e-06,9.039312744214093e-05,0.13287026663679138,0.09250887956086536
252,HIST1H1C,3.3363805,0.5809782,0.0008487694980067773,0.009681781346084911,0.10239749047725745,0.07285276073619631
51,CD63,13.635882,0.57788754,2.4501049929717594e-42,1.3611694405398664e-40,0.4488012547613713,0.3375645786244753
251,CD81,3.3480413,0.577825,0.0008138488369518901,0.009318879812426222,0.09657181268205244,0.0665563448498547
173,LYST,5.4589515,0.5664384,4.7895501484474454e-08,7.982583580745742e-07,0.16334304279632533,0.11470778172424928
30,ACTG1,19.743784,0.5649651,9.07223581122801e-87,8.50522107302626e-85,0.802375084024199,0.7190224410720052
119,CDK2AP2,7.3185573,0.5610329,2.5065094124217467e-13,6.064135675213903e-12,0.2285458211965046,0.1639489828866645
25,CTSW,20.802488,0.5607041,4.109263680782516e-96,4.5658485342027954e-94,0.7645081783553663,0.6604577010009687
16,MYL6,26.77329,0.5602563,6.614961969018521e-158,1.1024936615030867e-155,0.9153036074389425,0.8323579270261543
15,SH3BGRL3,27.905838,0.55719805,2.2665170483358643e-171,3.999735967651525e-169,0.9596683844947345,0.9007305456893768
92,CTSD,8.703822,0.5546336,3.2088933466125764e-18,1.0027791708164301e-16,0.28388976025095225,0.21016306102680013
176,PLA2G16,5.289345,0.5515095,1.227551935782102e-07,2.01238022259361e-06,0.1651355590410038,0.11832014853083629
21,GAPDH,23.042982,0.5485262,1.7296420740578584e-117,2.2560548792059024e-115,0.87138695944432,0.78832337746206
70,ANXA2,10.799547,0.54574597,3.459061805729974e-27,1.402322353674314e-25,0.3607438942415416,0.2704028091701647
69,SAMD3,10.859656,0.5423155,1.7942350865197692e-27,7.373568848711381e-26,0.3643289267308985,0.2720576364223442
188,TBX21,4.769594,0.5376614,1.8459757598025443e-06,2.8111305986840777e-05,0.1492269773694824,0.106675815305134
166,ATP1B3,5.7653317,0.53708386,8.149739723173251e-09,1.4132496629780205e-07,0.18462917320188213,0.13381901840490798
58,UCP2,12.212151,0.5366214,2.6771846391116627e-34,1.2954119221508044e-32,0.44723280304727764,0.3516306102680013
24,SRGN,20.957338,0.535975,1.6083583484859748e-97,1.855798094406894e-95,0.7732466950481739,0.6566637068130449
213,ZYX,4.130547,0.53352356,3.619007506789953e-05,0.00048686199642914167,0.13511091194263947,0.0986236680658702
120,VASP,7.2811737,0.53219295,3.3092849065534994e-13,7.942283775728398e-12,0.24602285458211964,0.18372618663222473
97,ISG15,8.449808,0.52896297,2.917819543407143e-17,8.581822186491597e-16,0.2870266636791396,0.2138157894736842
149,SPON2,6.378167,0.52476585,1.79219927525815e-10,3.468772790822226e-09,0.21151691687205915,0.15525104940264772
55,CALR,12.785771,0.52241236,1.968994339491165e-37,1.0011835624531348e-35,0.4707595787586825,0.3703584113658379
224,ATP6V0D1,3.8583102,0.52231306,0.00011417366464465257,0.0014637649313416995,0.1196504593322877,0.08494107200516629
139,SDF2L1,6.5936794,0.5173443,4.290574080827078e-11,8.877049822400851e-10,0.2204794980954515,0.16251614465611883
37,GZMM,17.630703,0.51510376,1.4317535903738328e-69,1.101348915672179e-67,0.6697288819179924,0.5574144333225702
47,CD8B,14.374931,0.512933,7.434362234908433e-47,4.46061734094506e-45,0.5500784225857047,0.43027526638682595
146,APOBEC3C,6.4342866,0.5104259,1.2405445159587537e-10,2.4484431236028035e-09,0.2231682724624692,0.16717791411042945
13,HLA-A,28.467686,0.50797284,2.9440461386166834e-178,5.8880922772333665e-176,0.9881245798790051,0.971867936712948
62,KLRD1,11.95896,0.50788444,5.828765512256667e-33,2.6494388692075763e-31,0.4391664799462245,0.341963997416855
88,EFHD2,8.897186,0.50617164,5.728044244648872e-19,1.867840514559415e-17,0.3264620210620659,0.25211898611559574
115,SH2D1A,7.491971,0.50485754,6.784699794312826e-14,1.6961749485782064e-12,0.26753304951826123,0.20322085889570551
61,LCP1,12.037107,0.50484586,2.267690072404137e-33,1.0466261872634479e-31,0.44924938382254087,0.3538505004843397
99,CARD16,8.274046,0.5021415,1.2948839891031328e-16,3.735242276259037e-15,0.29016356710732694,0.21811430416532127
230,PTMS,3.791599,0.5016061,0.00014968043055896575,0.0018710053819870718,0.1250280080663231,0.09111640297061672
50,MT2A,13.87434,0.5006985,9.062346227613103e-44,5.12962994015836e-42,0.5527671969527224,0.45110187278010977
84,APMAP,9.081381,0.49918008,1.0720586347560607e-19,3.654745345759298e-18,0.32332511763387856,0.2459436551501453
34,ARPC3,18.054598,0.49830234,7.258803431417491e-73,6.049002859514576e-71,0.7221599820748376,0.6129722311914756
109,CHST12,7.861373,0.49555275,3.799454330092968e-15,9.998564026560442e-14,0.2738068563746359,0.20517839845011301
77,TXN,10.056386,0.4924522,8.610106409796654e-24,3.1889282999246864e-22,0.3701546045261035,0.28729415563448496
42,ARPC1B,16.163147,0.49155337,9.175457924430618e-59,6.255994039384512e-57,0.6547165583688103,0.5551945431062318
140,SERPINB1,6.588995,0.48966122,4.428140188097109e-11,9.098918194720087e-10,0.22675330495182613,0.1682676783984501
87,HSPA5,8.923336,0.48919663,4.52448280989605e-19,1.4915877395261702e-17,0.3269101501232355,0.2512310300290604
240,ZBP1,3.6209323,0.4872341,0.0002935433738260077,0.0035084865397530802,0.12054671745462693,0.08810946076848564
111,AP2S1,7.6444683,0.48509988,2.0981024086108874e-14,5.42612691882126e-13,0.26999775935469417,0.20311995479496286
179,KLRF1,5.257109,0.48417005,1.463372769904819e-07,2.3602786611368052e-06,0.19269549630293525,0.1472594446238295
19,CYBA,23.8266,0.48057055,1.7707013287505483e-125,2.5295733267864975e-123,0.9175442527447905,0.8600460122699386
239,TGFBR3,3.6851237,0.4795217,0.00022859155644206093,0.002754115137856156,0.12547613712749273,0.09250887956086536
53,GSTP1,13.349754,0.47908786,1.1883982415254448e-40,6.254727586976025e-39,0.515796549406229,0.41122457216661285
122,RHOC,7.0478163,0.47897118,1.8174743587365512e-12,4.259705528288792e-11,0.25700201658077526,0.19597594446238295
182,IQGAP2,5.066223,0.4773507,4.0578592880649716e-07,6.407146244313112e-06,0.17521846291732018,0.13002502421698417
125,ITM2A,6.940193,0.47662282,3.915637159058567e-12,8.967107997844046e-11,0.2614833071924714,0.20213109460768486
165,PATL2,5.774788,0.47449517,7.704997774941512e-09,1.3438949607456127e-07,0.2027784001792516,0.15125524701323861
108,RHOG,7.915575,0.47211513,2.4611323387502268e-15,6.533979660398832e-14,0.2953170513107775,0.22757910881498225
52,MYO1F,13.515002,0.46899673,1.275521178180301e-41,6.957388244619823e-40,0.539099260587049,0.4415361640297062
17,HLA-C,25.902058,0.4688427,6.313613142094309e-148,9.968862855938382e-146,0.9874523862872507,0.9734218598643849
132,PDIA6,6.7688184,0.46748614,1.2983835842731431e-11,2.8225730092894413e-10,0.2527447904996639,0.19448256377139167
103,PYHIN1,8.096995,0.46685278,5.633314042786899e-16,1.5648094563296944e-14,0.31525879453282546,0.24713432353890863
95,CTSS,8.559308,0.4642211,1.1354720418365144e-17,3.406416125509543e-16,0.3168272462469191,0.2421496609622215
43,IFITM2,15.812542,0.46217194,2.5496774156404536e-56,1.6997849437603025e-54,0.7060273358727314,0.6248587342589603
195,STXBP2,4.57739,0.45787105,4.708122809882938e-06,6.923710014533731e-05,0.15930988124579878,0.11811834032935098
91,SLC25A5,8.771011,0.4563892,1.770690202647758e-18,5.591653271519236e-17,0.34976473224288596,0.2779302550855667
250,PTPRE,3.382284,0.45211744,0.0007188581133906842,0.008262736935525107,0.12211516916872059,0.09188327413626089
72,HOPX,10.624401,0.44798768,2.2947942483005574e-26,9.058398348554831e-25,0.45104190006721934,0.36938973199870845
180,PTPN6,5.251775,0.447761,1.506405759360246e-07,2.416693731593978e-06,0.1994174322204795,0.15309170164675492
219,SIT1,3.9542828,0.4448112,7.676458853894708e-05,0.0010056496315145906,0.15057136455299125,0.11565628027123022
156,SPN,6.095307,0.44479033,1.0922760373843033e-09,2.0103239951858345e-08,0.22989020838001345,0.17619874071682273
151,CD97,6.3363204,0.4434802,2.3531742533861225e-10,4.496511312202782e-09,0.24960788707147658,0.1949467226348079
93,ITGB1,8.6866255,0.44105396,3.733649811394226e-18,1.1547370550703794e-16,0.3533497647322429,0.27980707135938004
131,GNAI2,6.770678,0.43831787,1.2818014099446517e-11,2.8068644013386533e-10,0.25946672641720814,0.19974975783015822
223,PMAIP1,3.902367,0.43695447,9.525654804133054e-05,0.0012264791593304362,0.16535962357158862,0.13137713916693575
204,CD84,4.2370014,0.4363273,2.265246442806595e-05,0.00031755791254298063,0.15751736500112032,0.11965208266063933
18,HLA-B,24.601423,0.43009916,1.2196672288193154e-133,1.829500843228973e-131,0.9939502576742102,0.986236680658702
104,PSAP,8.076532,0.42961794,6.663459710734602e-16,1.8339797368994317e-14,0.3208604077974457,0.2507063287051986
235,TUBB4B,3.7349262,0.42941955,0.0001877703127739423,0.002299228319680926,0.14026439614609007,0.1069381659670649
155,TUBB,6.1378436,0.42744374,8.364924312703818e-10,1.5490600579081143e-08,0.24535066099036523,0.19195996125282533
205,TNFRSF1B,4.2206326,0.42561564,2.4361794245576967e-05,0.00033993201272898094,0.15886175218462917,0.12104455925088796
189,TALDO1,4.7635756,0.42308673,1.901925205715456e-06,2.88170485714463e-05,0.18911046381357832,0.1471787213432354
236,AGTRAP,3.724126,0.42289716,0.00019599292608614858,0.0023901576351969336,0.1407125252072597,0.10738214401033258
56,CD2,12.685405,0.42281264,7.124470409637948e-37,3.562235204818974e-35,0.5821196504593323,0.4971141427187601
153,TLN1,6.176562,0.4183312,6.551262308708386e-10,1.2283616828828223e-08,0.2527447904996639,0.1990837907652567
169,PRKCB,5.732339,0.41665262,9.90550907021336e-09,1.6884390460590956e-07,0.23526775711404885,0.1856635453664837
80,PRELID1,9.588024,0.41565576,8.97878882137043e-22,3.184472040901462e-20,0.425722608111136,0.35106554730384243
