,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
196,SYNE2,4.5741463,0.22295462,4.781661844211378e-06,6.997553918358114e-05,0.3607438942415416,0.323982886664514
183,ISG20,4.967031,0.20862208,6.798573306816259e-07,1.0622770791900405e-05,0.4172081559489133,0.37790603810138845
174,CD7,5.3883142,0.190889,7.11216191559148e-08,1.1788113672251071e-06,0.5050414519381582,0.46159589925734584
232,SNX3,3.772786,0.18959196,0.00016143480606802546,0.0020012579264631256,0.32332511763387856,0.2911688731030029
171,KLF6,5.5629582,0.18778439,2.6523967550729353e-08,4.4703316096734866e-07,0.5615057136455299,0.5218558282208589
167,IER2,5.7577043,0.18144523,8.526549122137057e-09,1.470094676230527e-07,0.5675554559713197,0.5273651921214079
168,VIM,5.748058,0.16104636,9.027425121090358e-09,1.5475585921869184e-07,0.6453058480842483,0.6021754924120116
83,FTL,9.31164,0.15679063,1.2587372606111402e-20,4.340473312452208e-19,0.973112256329823,0.9622013238618018
107,FTH1,7.958722,0.13819022,1.7382507280562839e-15,4.656028735865046e-14,0.9652699977593547,0.9477518566354537
190,EEF1A1,4.7601676,0.082125634,1.9343221428323483e-06,2.916063531908063e-05,0.9968630965718127,0.9962060058120762
209,TPT1,4.1858783,0.06879248,2.840657566390845e-05,0.000389131173478198,0.981178579430876,0.9751977720374556
302,GZMK,-5.026614,-0.16301681,4.992157443965247e-07,7.841084990521331e-06,0.38628725072820974,0.4407894736842105
305,JUNB,-7.194635,-0.20563617,6.262808450647861e-13,1.4911448692018718e-11,0.7972215998207484,0.8071319018404908
301,NFKBIA,-4.558188,-0.23081692,5.1596867523259325e-06,7.477806887428888e-05,0.36298453954738963,0.39695673232160156
306,ZFP36L2,-8.567972,-0.25182423,1.0532300856892053e-17,3.191606320270319e-16,0.7015460452610351,0.7293348401679044
304,FOS,-6.276542,-0.2552794,3.461853038205164e-10,6.573138680136387e-09,0.5762939726641273,0.6036688731030029
303,NOSIP,-5.23935,-0.36992615,1.611434788537362e-07,2.5714384923468544e-06,0.24602285458211964,0.28662818856958344
300,NSG1,-3.6453407,-0.7496595,0.0002670379182400467,0.0032044550188805605,0.05153484203450594,0.08433564740071037
308,LTB,-15.392755,-0.77793974,1.8307102406786174e-53,1.1939414613121419e-51,0.39188886399282996,0.48896109137875365
307,KLRB1,-13.499307,-0.8057015,1.5785504421332802e-41,8.456520225714e-40,0.29755769661662557,0.40075072650952537
